,name,owner,phone,status,clean_address,TDLR Number,url
0,AUGUSTUS E SMITH DBA:   A-1 AUTO RECOVERY,AUGUSTUS EUGENE SMITH / OWNER,9032276464, Active,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   1\n\nAddress Information\nMailing', '\n1617 COUNTY ROAD 4130\nBONHAM, TX. 75418\n\nPhysical', '\n103 N MAIN ST\nBONHAM, TX. 75418']",006507931C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006507931C
1,B.D. SMITH TOWING DBA:   NO DATA,BRANDT SMITH / OWNER,8173330706, Expired,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   0\n\nAddress Information\nMailing', '\n13619 BRETT JACKSON RD\nFORT WORTH, TX. 76179\n\nPhysical', '\n13619 BRETT JACKSON RD.\nFORT WORTH, TX. 76179']",006179570C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006179570C
2,BARRY MICHAEL SMITH DBA:   BUFFALO TOWING,BARRY MICHAEL SMITH / OWNER,8066544404, Active,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   4\n\nAddress Information\nMailing', '\n4501 W CEMETERY RD\nCANYON, TX. 79015\n\nPhysical', '\n4501 W CEMETERY RD\nCANYON, TX. 79015']",006502097C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006502097C
3,HEATH SMITH DBA:   AUTOKRAFT COLLISION CENTER & WRECKER SRV,HEATH A SMITH / OWNER,940-552-0687, Expired,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   0\n\nAddress Information\nMailing', '\n1529 WILBARGER ST\nVERNON, TX. 76384\n\nPhysical', '\n1529 WILBARGER ST\nVERNON, TX. 76384']",006494912C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006494912C
4,HEATH SMITH DBA:   AUTO KRAFT COLLISION CENTER & WRECKER SV,HEATH A SMITH / OWNER,9405520687, Expired,"['Carrier Type', '  Vehicle Storage Facility\nCapacity', '   <=50\n\nAddress Information\nMailing', '\n1529 WILBARGER ST\nVERNON, TX. 76384\n\nPhysical', '\n1529 WILBARGER ST\nVERNON, TX. 76384']",0649468VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0649468VSF
5,HYSMITH AUTOMOTIVE DBA:   HYSMITH AUTOMOTIVE,WILLIAM THOMAS HYSMITH / PRESIDENT,icer:   ASHLEY ERIN HYSMITH / TREASURER,,"['Status', '  Active']",006448786C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006448786C
6,HYSMITH AUTOMOTIVE & TRUCK REPAIR INC DBA:   HYSMITH AUTOMOTIVE,HYSMITH ERIN ASHLEY / TREASURER,icer:   WILLIAM THOMAS HYSMITH / PRESIDENT,,"['Status', '  Suspended']",0648444VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0648444VSF
7,HYSMITH AUTOMOTIVE & TRUCK REPAIR INC DBA:   HYSMITH AUTOMOTIVE,WILLIAM THOMAS HYSMITH / PRESIDENT,icer:   ASHLEY ERIN HYSMITH / TREASURER,,"['Status', '  Active']",0651667VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0651667VSF
8,JEFF & WENDY SMITH DBA:   A-1 WRECKER SERVICE,JEFF SMITH / PARTNER,icer:   WENDY SMITH / PARTNER,,"['Status', '  Suspended']",006017767C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006017767C
9,JEFF SMITH DBA:   SAN JACINTO TOWING,JEFFREY JOHN SMITH / OWNER,8324354670, Active,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   1\n\nAddress Information\nMailing', '\n4338 HARVEY RD\nCROSBY, TX. 77532\n\nPhysical', '\n4338 HARVEY RD\nCROSBY, TX. 77532']",006495492C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006495492C
10,LUTHER SMITH DBA:   MONKEY'S TOWING,LUTHER EUGENE SMITH / OWNER,281-838-9435, Insurance and/or fees not applied,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   0\n\nAddress Information\nMailing', '\n20001 FM 2100 RD\nCROSBY, TX. 77532\n\nPhysical', '\n20001 FM 2100 RD\nCROSBY, TX. 77532']",006518521C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006518521C
11,MAURICE SMITH DBA:   TIP TOWING & RECOVERY,MAURICE SMITH / OWNER,7134544462, Active,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   4\n\nAddress Information\nMailing', '\nPO BOX 723\nFRESNO, TX. 77545\n\nPhysical', '\n5505 SAVANNAH WOODS LN\nROSHARON, TX. 77583']",006521662C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006521662C
12,METRO LOCKSMITHS INC DBA:   METRO TRANSPORT & LOGISTICS,ESTHER ENRIQUEZ / MANAGER,icer:   SOCORRO M ARREOLA / OWNER,,"['Status', '  Suspended']",006482451C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006482451C
13,RICKY SMITH DBA:   R & D TOWING AND RECOVERY,RICKY SMITH / OWNER,9364997917, Suspended,"['Carrier Type', '  Vehicle Storage Facility\nCapacity', '   <=50\n\nAddress Information\nMailing', '\nPO BOX 624\nWILLIS, TX. 77378\n\nPhysical', '\n115 CARTWRIGHT\nCONROE, TX. 77301']",0646264VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0646264VSF
14,RICKY SMITH DBA:   R & D TOWING & RECOVERY,RICKY SMITH / OWNER,9364997917, Suspended,"['Carrier Type', '  Vehicle Storage Facility\nCapacity', '   <=50\n\nAddress Information\nMailing', '\n11426 FOSTORIA RD\nCLEVELAND, TX. 77328\n\nPhysical', '\n11426 FOSTORIA RD\nCLEVELAND, TX. 77328']",0650690VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0650690VSF
15,SAMMY L SMITH DBA:   SMITH WRECKER & RECOVERY,SAMMY LEE SMITH / OWNER,3252159496, Expired,"['Carrier Type', '  Tow Truck Company\nNumber of Active Tow Trucks', '   0\n\nAddress Information\nMailing', '\n355 N 16TH ST\nJUNCTION, TX. 76849\n\nPhysical', '\n355 N 16TH ST\nJUNCTION, TX. 76849']",006505010C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006505010C
16,SMITH BRO. WRECKER SERVICE DBA:   NO DATA,JEFF SMITH / PARTNER,icer:   GLEN SMITH / PARTNER,,"['Status', '  Expired']",0000210VSF,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0000210VSF
17,SMITH BROS. WRECKER SERVICE DBA:   NO DATA,JEFF SMITH / PARTNER,icer:   GLEN SMITH / PARTNER,,"['Status', '  Suspended']",005029369C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=005029369C
18,"SMITH TOWING & RECOVERY, LLC DBA:   NO DATA",RICKY L SMITH / OWNER,9362693915, Active,"['Carrier Type', '  Tow Truck Company - Commercial Carrier\nNumber of Active Tow Trucks', '   1\n\nAddress Information\nMailing', '\n12741 HWY 84E\nJOAQUIN, TX. 75954\n\nPhysical', '\n12741 HWY 84E\nJOAQUIN, TX. 75954']",006410509C,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006410509C
