GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US10026,10026,ZCTA5 10026,14481,384,7660,472,3420,429,6821,512,14.5,2.0,10.8,2.5,0.5,0.8,19.6,3.1,7.3,1.6,6.6,2.1,4.0,3.1,9.0,2.3,10.2,1.8,9.5,2.5,8.7,3.4,10.9,2.7,9.1,1.7,10.2,2.4,5.7,2.6,8.0,2.1,11.3,2.0,12.4,2.7,4.6,2.5,10.4,2.7,15.6,2.0,13.6,2.8,13.2,4.1,17.6,2.8,7.3,1.5,7.5,2.4,9.6,3.6,6.7,2.0,11.4,1.9,13.1,2.9,20.8,4.9,9.4,2.2,6.3,1.6,5.8,2.3,12.3,4.7,5.8,2.2,7.0,1.3,10.5,2.1,20.6,4.6,2.6,1.6,47318,5263,51133,6929,106105,15471,39361,6442,76406,5433,88835,8736,N,N,58891,6320,36.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.0,(X)
8600000US10027,10027,ZCTA5 10027,22965,543,11749,596,5159,499,11216,627,19.7,2.0,15.2,2.5,3.7,1.7,25.1,3.0,6.3,1.1,5.2,1.5,1.4,1.0,7.7,1.8,10.7,1.4,9.3,1.6,6.0,2.1,12.5,2.4,8.8,1.5,9.1,2.1,6.8,2.7,8.3,2.2,11.7,1.6,13.9,2.4,7.6,2.8,9.4,1.9,12.8,1.5,12.8,2.2,17.0,3.8,12.4,1.9,9.2,1.2,9.2,1.8,10.7,2.8,9.3,1.7,9.3,1.3,10.7,2.4,17.1,4.3,7.5,1.3,4.7,1.0,5.3,1.5,8.6,2.3,4.3,1.4,6.7,1.2,9.3,1.8,21.1,4.0,3.6,1.3,40013,2645,47383,3426,93733,11793,32241,4398,70220,4756,82930,6744,N,N,55705,5858,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X)
8600000US10030,10030,ZCTA5 10030,12008,381,5641,401,1761,295,6367,444,20.2,2.4,15.3,3.9,1.2,1.5,25.4,3.5,9.2,2.2,5.9,2.3,3.2,3.9,12.2,3.2,12.8,2.3,12.1,3.7,9.5,6.7,13.8,3.4,11.9,2.5,12.4,4.0,9.2,5.6,11.4,3.4,11.1,2.1,14.1,3.7,8.8,4.6,8.5,2.3,16.3,2.8,20.7,4.6,29.8,7.8,12.0,2.8,4.9,1.3,4.6,2.0,2.5,3.3,4.9,1.8,7.0,1.8,7.1,2.9,17.8,8.1,5.8,2.2,3.2,1.3,3.5,1.8,8.0,5.1,3.2,1.8,3.5,1.1,4.3,1.8,9.9,4.1,2.6,1.5,32561,3375,38402,4753,62485,8543,22271,5276,52572,4127,59422,7313,N,N,44143,5301,39.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
8600000US10031,10031,ZCTA5 10031,20969,484,10808,644,3916,466,10161,597,15.8,2.0,10.9,2.3,4.0,2.8,22.3,3.5,8.1,1.5,7.2,2.2,3.9,2.4,9.8,2.2,11.5,1.4,12.5,2.4,9.1,3.3,9.6,2.1,11.7,1.6,14.6,2.8,16.4,4.7,10.3,2.3,13.9,1.9,15.8,3.3,14.1,5.3,11.4,2.3,14.8,1.9,15.9,2.9,15.7,4.5,13.4,2.3,9.7,1.8,5.8,1.7,4.9,2.7,12.6,2.9,8.7,1.4,10.0,2.3,14.6,4.3,7.2,2.2,2.7,0.9,3.6,1.3,8.1,3.1,1.4,0.8,3.1,0.9,3.6,1.4,9.1,3.8,2.1,0.9,38338,3217,39400,3699,52330,10691,31628,5566,56188,3593,61424,5726,N,N,47201,3764,34.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X)
8600000US10032,10032,ZCTA5 10032,19821,430,10598,501,4173,515,9223,553,14.2,2.1,8.6,2.4,7.4,3.4,22.5,3.6,9.3,1.6,7.0,2.2,4.4,2.4,12.9,2.6,13.3,1.9,15.4,2.9,11.8,3.5,12.2,2.8,12.2,2.1,12.5,2.8,10.6,3.5,11.3,3.1,13.5,2.1,18.6,3.3,15.9,4.6,10.7,2.9,16.9,1.7,17.0,2.9,16.1,4.1,13.5,2.7,10.1,1.8,10.3,2.2,11.8,4.0,8.0,2.5,7.0,1.2,7.6,2.0,15.7,4.5,5.2,1.6,1.8,0.7,1.7,1.0,2.8,2.0,1.8,1.0,1.7,0.7,1.4,0.7,3.6,1.9,1.9,1.3,35979,2738,39805,3676,49899,7040,26888,3158,49670,2676,52276,3597,N,N,42618,4197,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
8600000US10033,10033,ZCTA5 10033,19595,396,11956,569,6096,515,7639,530,11.1,1.7,6.0,1.7,4.2,1.9,20.7,3.8,7.9,1.6,7.9,2.0,4.0,1.9,8.9,2.7,12.9,1.7,14.5,2.6,9.7,3.2,11.1,2.4,10.9,1.6,11.9,2.4,9.7,2.9,9.2,2.5,10.8,1.5,11.0,2.0,8.7,2.3,10.3,2.3,16.3,2.2,19.5,2.7,21.6,4.2,12.1,3.0,10.5,1.5,9.6,2.0,9.7,2.5,11.5,2.5,10.8,1.7,9.6,2.2,16.2,3.8,11.1,2.4,3.9,0.9,4.4,1.3,6.9,2.3,2.4,1.3,4.9,1.4,5.7,1.7,9.2,2.5,2.8,1.7,44595,3911,48197,4420,65841,3416,35252,4638,65125,4064,68712,4842,N,N,54432,5398,40.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
8600000US10034,10034,ZCTA5 10034,15252,285,9051,452,4564,397,6201,409,10.5,2.0,8.4,2.3,4.3,2.2,14.9,3.3,7.3,2.1,6.8,2.1,2.3,1.4,9.1,3.6,14.2,2.6,17.6,3.6,9.6,3.6,10.9,3.0,11.7,2.1,11.6,2.6,9.3,3.4,10.0,2.3,12.4,1.9,14.4,3.2,16.9,4.6,12.5,3.3,15.4,2.3,14.1,2.7,17.6,3.9,16.3,3.4,13.5,2.0,12.0,3.1,15.1,5.2,13.0,2.8,9.5,1.8,8.8,2.3,13.5,3.4,10.3,2.8,3.9,1.0,4.6,1.2,8.0,2.3,1.9,1.0,1.7,0.6,1.9,0.9,3.3,1.6,1.1,0.7,42522,3180,40852,4342,61216,5353,41305,4780,58725,3312,59249,4780,N,N,53092,4384,35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
8600000US10037,10037,ZCTA5 10037,9040,338,3541,317,989,188,5499,372,12.1,2.3,12.2,4.0,3.9,3.8,13.0,3.3,10.9,2.4,6.3,3.4,2.0,3.2,13.8,2.7,15.0,2.6,13.1,4.3,9.2,5.5,15.7,3.4,10.7,2.6,17.1,5.4,11.7,8.2,6.9,2.3,13.2,2.6,14.6,4.4,8.1,6.7,12.4,3.0,18.2,3.1,14.0,5.0,12.6,9.2,21.5,4.2,11.6,2.6,11.7,4.0,25.1,11.1,11.3,3.4,4.7,1.8,4.6,2.7,9.3,6.5,3.9,2.1,1.8,1.1,2.7,2.1,4.6,4.0,1.2,1.2,1.7,0.9,3.8,2.3,13.4,7.7,0.4,0.5,37000,4614,37021,7028,79922,37300,36132,5984,48731,3820,55526,8846,N,N,43279,3190,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X)
8600000US10039,10039,ZCTA5 10039,10367,411,5544,416,1834,314,4823,441,17.0,3.0,11.3,3.8,1.0,1.5,23.8,4.4,9.4,2.0,7.4,2.9,0.1,0.8,12.3,3.1,12.7,2.8,16.7,4.7,11.1,7.0,7.6,2.6,13.3,2.7,14.1,3.4,12.1,6.4,12.0,4.3,14.2,2.8,16.6,3.8,13.3,7.8,13.2,3.9,16.1,3.5,17.7,5.5,26.9,10.6,14.0,3.8,8.9,2.5,7.5,3.0,13.8,6.7,9.4,3.5,4.5,1.4,4.0,1.7,8.8,3.9,4.7,2.2,1.7,1.0,2.3,1.7,6.3,5.3,1.0,0.8,2.2,0.8,2.2,1.0,6.7,3.1,2.0,1.3,33132,2539,35345,4631,65833,8537,31030,3773,46959,3093,48705,3988,N,N,43932,4739,37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.0,(X)
