GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars)
8600000US10026,10026,ZCTA5 10026,14803,344,7320,492,3145,417,7483,533,52082,3161,57521,7683,115839,11068,47578,10098,88932,7245,100072,11349,N,N,75591,8859
8600000US10027,10027,ZCTA5 10027,22933,557,11570,571,5221,435,11363,643,42754,4154,49825,2854,103322,12846,32847,6205,73563,4179,89510,6389,N,N,55039,4293
8600000US10030,10030,ZCTA5 10030,11878,407,5550,409,1803,322,6328,383,33720,2653,40888,5465,75486,27744,26971,5307,57119,4609,61421,6084,N,N,51149,6955
8600000US10031,10031,ZCTA5 10031,21881,455,11007,624,4486,520,10874,643,41848,2855,43893,5722,65825,10168,35862,3001,60308,3802,67416,6584,N,N,50527,3843
8600000US10032,10032,ZCTA5 10032,20140,460,10769,546,4786,479,9371,552,40054,3065,44598,6205,61881,7550,30302,3919,55460,3200,60915,5098,N,N,45021,3607
8600000US10033,10033,ZCTA5 10033,19426,420,11790,516,6154,384,7636,467,46349,3046,50589,3971,71285,6780,33203,4545,66376,2480,71551,3499,N,N,52458,4654
8600000US10034,10034,ZCTA5 10034,15841,329,8865,426,4339,419,6976,435,45643,4511,43724,5445,66167,7171,43315,5862,62248,3388,63882,4877,N,N,55569,4365
8600000US10037,10037,ZCTA5 10037,9317,357,4060,373,1110,233,5257,404,39463,3788,34459,7428,73314,14357,41747,6287,54929,6039,55735,7994,N,N,52077,6952
8600000US10039,10039,ZCTA5 10039,10856,359,5839,392,1476,233,5017,451,32257,2572,36508,4538,63649,21790,29904,4354,51355,5793,48854,3656,N,N,52889,12549
8600000US10040,10040,ZCTA5 10040,16086,385,8556,480,4578,465,7530,482,45811,2212,46149,2729,65897,7382,40952,6240,59453,3183,64839,4303,N,N,51212,4671
