year,zip,hpd_complaints_count
2006,10026,1
2013,10026,1
2014,10026,1134
2015,10026,2574
2016,10026,1891
2017,10026,2260
2018,10026,1180
2005,10027,1
2006,10027,1
2007,10027,1
2008,10027,2
2009,10027,3
2010,10027,3
2011,10027,2
2012,10027,1
2013,10027,4
2014,10027,2113
2015,10027,4266
2016,10027,3624
2017,10027,3616
2018,10027,1941
2008,10030,1
2010,10030,1
2011,10030,3
2012,10030,1
2013,10030,1
2014,10030,1558
2015,10030,3219
2016,10030,2413
2017,10030,2881
2018,10030,1476
2009,10031,1
2012,10031,3
2013,10031,3
2014,10031,3580
2015,10031,7185
2016,10031,7096
2017,10031,7501
2018,10031,4013
2004,10032,1
2012,10032,1
2013,10032,1
2014,10032,3238
2015,10032,7246
2016,10032,5556
2017,10032,5624
2018,10032,2499
2009,10033,5
2011,10033,5
2012,10033,3
2013,10033,2
2014,10033,2300
2015,10033,5231
2016,10033,4559
2017,10033,4802
2018,10033,2778
2014,10034,1901
2015,10034,4945
2016,10034,3838
2017,10034,4048
2018,10034,2247
2005,10037,1
2013,10037,1
2014,10037,606
2015,10037,1201
2016,10037,1382
2017,10037,1681
2018,10037,1117
2006,10039,1
2008,10039,3
2009,10039,2
2010,10039,8
2011,10039,2
2013,10039,1
2014,10039,958
2015,10039,1894
2016,10039,1639
2017,10039,2256
2018,10039,1184
2013,10040,1
2014,10040,3021
2015,10040,7452
2016,10040,5302
2017,10040,4210
2018,10040,2231
