GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US10026,10026,ZCTA5 10026,14324,456,7434,403,3239,371,6890,418,15.1,2.2,9.8,2.9,4.0,2.7,21.3,3.6,7.7,1.4,7.0,1.9,5.6,3.6,8.7,2.1,10.5,1.9,10.6,2.5,9.8,3.4,10.4,3.2,10.9,1.8,12.0,2.8,5.2,2.7,9.9,2.9,10.4,1.9,12.1,2.9,3.8,2.0,9.6,2.6,15.5,2.3,14.6,3.1,14.6,4.5,16.7,3.0,7.5,1.4,7.4,1.8,7.1,2.5,6.9,2.2,10.7,1.8,11.6,3.2,18.0,5.7,9.6,2.3,6.6,1.4,6.5,2.2,13.6,4.7,5.8,2.2,5.1,1.1,8.5,1.9,18.2,4.3,1.0,0.6,43107,3341,46762,6636,97969,18502,34474,8017,69653,3927,83720,8229,N,N,51381,4079,34.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
8600000US10027,10027,ZCTA5 10027,22862,521,11657,607,5072,449,11205,603,19.3,2.1,14.1,2.7,4.6,2.0,25.4,3.0,6.2,1.2,6.4,1.9,2.6,1.7,6.2,1.5,11.3,1.5,10.3,2.1,7.5,2.5,12.5,2.0,10.7,1.6,11.4,2.2,6.8,2.5,9.9,2.0,11.0,1.6,12.3,2.7,6.7,2.4,9.4,1.7,12.8,1.6,12.2,2.1,14.1,3.4,13.2,2.4,8.8,1.3,8.6,1.9,11.3,3.2,9.0,2.0,8.9,1.2,10.0,1.6,15.6,3.2,7.4,1.7,4.6,0.9,5.5,1.3,9.9,2.4,3.6,1.4,6.4,1.0,9.1,1.7,21.0,3.6,3.3,1.1,37872,3762,44626,4391,92371,7239,31947,2629,67382,3826,78528,5425,130622,10036,54642,6147,35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
8600000US10030,10030,ZCTA5 10030,11590,438,5569,411,1888,285,6021,442,19.2,2.4,13.9,3.7,2.3,2.8,25.4,3.6,9.7,2.1,5.7,2.0,2.1,2.4,13.1,3.3,12.6,2.5,12.8,3.9,12.3,6.4,13.0,3.2,12.8,2.6,12.9,4.0,8.6,5.6,13.6,3.6,11.1,2.2,13.4,3.7,10.0,5.2,8.5,2.6,14.8,2.5,17.9,4.3,22.0,6.0,11.2,2.6,5.4,1.6,7.4,2.7,5.6,4.6,4.3,1.6,7.3,2.0,7.7,3.1,16.8,7.6,5.6,2.4,3.5,1.3,4.6,2.2,10.9,5.3,2.7,1.5,3.6,1.1,3.7,1.7,9.3,4.8,2.4,1.3,31925,2571,40196,5424,63611,10793,22449,5355,53814,4623,61120,7683,N,N,42360,5123,34.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
8600000US10031,10031,ZCTA5 10031,20782,549,11022,588,4147,483,9760,516,16.0,2.2,12.3,2.5,3.7,2.5,21.9,3.7,6.8,1.3,5.5,1.7,3.1,2.2,8.8,2.0,13.5,1.9,13.9,2.6,10.7,3.6,12.5,2.9,11.2,1.8,13.0,2.6,14.5,4.6,10.1,2.6,14.1,1.8,16.0,2.4,16.1,3.6,11.8,2.6,15.7,2.0,15.4,2.3,15.1,3.6,15.2,3.0,8.6,1.4,6.3,2.0,4.6,2.3,10.2,2.1,8.2,1.4,9.4,1.8,13.5,3.7,6.8,2.0,2.8,0.8,3.8,1.4,8.3,3.1,1.3,0.8,3.1,0.8,4.3,1.3,10.6,3.1,1.5,0.9,37655,3184,40588,3609,53854,12677,30388,4388,57606,4430,65886,7516,N,N,45676,3790,33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X)
8600000US10032,10032,ZCTA5 10032,19548,460,10603,564,3847,425,8945,607,15.4,2.1,10.3,2.4,5.9,3.1,24.9,3.8,9.6,1.6,8.1,2.3,4.9,2.8,11.7,2.5,12.5,2.0,14.4,3.1,10.5,3.4,11.8,2.4,12.8,1.7,13.9,2.7,10.4,3.6,11.0,2.7,12.3,1.8,15.4,2.9,12.4,3.7,10.5,2.1,16.1,1.9,15.3,2.7,15.7,4.5,13.1,3.0,10.0,1.7,9.5,2.3,13.6,4.2,8.9,2.4,7.7,1.7,9.5,2.5,19.8,5.2,4.7,1.5,1.7,0.7,2.0,1.2,3.7,2.2,1.6,0.9,1.8,0.6,1.7,0.7,3.1,1.4,1.9,1.2,34568,2929,37951,3345,62089,11058,26028,2957,49378,2409,52570,3810,74273,8839,41575,3268,36.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X)
8600000US10033,10033,ZCTA5 10033,19254,458,11443,523,5576,494,7811,529,12.5,1.8,6.7,1.8,4.3,2.1,22.3,3.8,8.2,1.5,8.5,1.9,4.2,2.0,9.1,2.4,13.3,2.1,15.1,2.9,11.6,3.9,11.3,2.7,10.9,1.5,11.7,2.4,9.4,2.8,9.4,2.5,11.2,1.6,11.9,2.3,9.5,2.5,9.6,2.4,16.0,2.0,18.1,2.8,19.2,3.8,12.9,2.8,10.4,1.5,9.8,2.0,10.8,2.8,11.8,2.6,9.4,1.5,8.2,1.8,13.2,3.0,9.0,2.2,4.1,0.9,5.3,1.4,9.8,3.0,2.2,1.3,4.1,1.0,4.7,1.4,8.1,2.7,2.5,1.1,41556,3607,44119,5240,62132,7667,33177,5129,62147,3519,66582,5046,N,N,51372,4246,38.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
8600000US10034,10034,ZCTA5 10034,14967,329,8674,437,4314,413,6293,417,9.7,1.9,7.1,2.2,4.5,2.3,13.8,3.0,8.4,1.9,9.3,2.6,4.8,2.5,9.2,2.8,13.6,2.5,18.0,3.4,11.6,4.3,9.2,2.7,12.4,2.2,13.1,3.2,10.2,3.3,10.8,3.0,15.0,2.3,16.4,3.3,18.3,5.0,15.5,3.8,15.0,2.0,11.8,2.7,15.8,4.6,16.5,3.5,11.8,2.1,9.3,2.2,13.0,4.0,13.2,3.3,9.2,1.7,9.5,2.3,11.9,3.3,7.7,2.1,3.0,0.8,3.8,1.1,6.8,2.1,1.8,1.0,2.0,0.8,1.8,0.9,3.2,1.6,2.0,1.3,41171,3761,37877,4041,50538,5132,41694,5344,57323,3542,55979,4965,N,N,54465,4552,34.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X)
8600000US10037,10037,ZCTA5 10037,8455,302,3427,311,1124,258,5028,344,12.4,2.6,10.5,4.6,3.5,4.1,14.3,3.2,10.1,2.6,7.7,4.1,6.0,6.7,11.7,3.1,15.4,3.2,11.9,4.5,8.5,5.1,17.1,4.0,10.2,2.7,16.1,5.5,11.1,6.7,6.5,2.3,12.9,2.8,12.9,4.5,6.5,7.3,13.6,4.0,19.0,3.1,16.1,4.3,10.8,6.4,20.9,4.0,11.1,2.9,13.5,5.0,24.8,11.9,8.8,3.4,5.0,1.4,4.0,2.1,9.4,4.8,5.3,1.8,2.0,1.2,3.1,2.2,6.8,6.1,1.3,1.3,2.0,1.1,4.1,2.7,12.6,7.6,0.5,0.5,37341,3756,39645,5899,89583,40263,35325,3661,49722,4028,58147,8428,N,N,43124,3579,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X)
8600000US10039,10039,ZCTA5 10039,10456,348,5792,450,1999,366,4664,366,17.4,2.8,11.9,3.2,1.5,1.7,24.9,4.6,8.7,2.4,5.8,2.4,0.4,0.7,12.7,3.8,14.6,2.9,17.2,4.4,11.7,6.5,10.8,3.0,10.8,2.4,11.2,3.1,8.1,4.7,9.7,3.4,15.8,2.9,19.5,4.4,16.3,7.3,13.5,3.8,16.3,2.9,17.2,3.9,21.8,7.9,14.5,4.5,8.5,2.1,7.7,3.0,14.9,6.9,7.8,3.1,4.0,1.2,4.5,1.8,11.2,4.7,3.3,1.6,2.1,1.1,3.0,1.9,8.1,5.1,1.2,0.8,2.0,0.8,2.1,1.2,6.2,3.6,1.5,1.0,33595,3189,37690,3425,62043,12473,27500,8941,46310,3249,49397,4901,N,N,41278,5518,36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.1,(X)
