year,zip,dobjob_count
2012,10026,278
2012,10027,766
2012,10030,181
2012,10031,361
2012,10032,397
2012,10033,261
2012,10034,190
2012,10037,151
2012,10039,57
2012,10040,144
2013,10026,277
2013,10027,864
2013,10030,199
2013,10031,395
2013,10032,519
2013,10033,290
2013,10034,230
2013,10037,115
2013,10039,90
2013,10040,165
2014,10026,372
2014,10027,945
2014,10030,262
2014,10031,516
2014,10032,577
2014,10033,443
2014,10034,249
2014,10037,166
2014,10039,163
2014,10040,197
2015,10026,415
2015,10027,1022
2015,10030,303
2015,10031,473
2015,10032,568
2015,10033,381
2015,10034,259
2015,10037,139
2015,10039,154
2015,10040,201
2016,10026,406
2016,10027,1004
2016,10030,243
2016,10031,554
2016,10032,535
2016,10033,372
2016,10034,219
2016,10037,119
2016,10039,99
2016,10040,246
2017,10026,313
2017,10027,876
2017,10030,231
2017,10031,454
2017,10032,496
2017,10033,456
2017,10034,275
2017,10037,152
2017,10039,116
2017,10040,212
2018,10026,140
2018,10027,367
2018,10030,79
2018,10031,191
2018,10032,223
2018,10033,174
2018,10034,91
2018,10037,61
2018,10039,50
2018,10040,88
